Auction Date,Auction Name,Lot Title,Estimate Low,Estimate High,Description,Main Image URL,Artist Name
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Gold and diamond necklace,"15,000","20,000",https://www.phillips.com/detail/buccellati/CH060424/301,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579173/auctions/CH060424/206859_001.jpg,Buccellati
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond bracelet,"17,000","26,000",https://www.phillips.com/detail/cartier/CH060424/302,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579173/auctions/CH060424/206854_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Ruby and diamond bracelet, 'Escurial', circa 1987","65,000","100,000",https://www.phillips.com/detail/van-cleef-arpels/CH060424/303,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579210/auctions/CH060424/210006_001.jpg,Van Cleef & Arpels
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Pair of ruby and diamond earrings, 'Feuilles', circa 1960","17,000","26,000",https://www.phillips.com/detail/rene-boivin/CH060424/304,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1730364958/auctions/CH060424/209700_001.jpg,René Boivin
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Gold and diamond choker,"8,500","13,000",https://www.phillips.com/detail/attributed-to-marina-b/CH060424/305,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579224/auctions/CH060424/210454_001.jpg,Attributed to Marina B.
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Ruby and diamond ring,"38,000","55,000",https://www.phillips.com/detail/bulgari/CH060424/306,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579221/auctions/CH060424/210004_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond pendant,"45,000","70,000",https://www.phillips.com/detail/CH060424/307,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579220/auctions/CH060424/210762_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Emerald and diamond ring, circa 1948","30,000","42,000",https://www.phillips.com/detail/cartier/CH060424/308,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579203/auctions/CH060424/209699_001.jpg,Cartier
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond brooch,"17,000","26,000",https://www.phillips.com/detail/boucheron/CH060424/309,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579188/auctions/CH060424/208212_001.jpg,Boucheron
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Diamond ring,"17,000","26,000",https://www.phillips.com/detail/CH060424/310,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728659362/auctions/CH060424/210348_001.jpg,N/A
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,"Gold necklace, 1990s","13,000","17,000",https://www.phillips.com/detail/bulgari/CH060424/311,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579157/auctions/CH060424/203955_001.jpg,Bulgari
Geneva Auction 11 November 2024,The Geneva Jewels Auction: THREE,Fancy Intense Yellow diamond ring,"90,000","110,000",https://www.phillips.com/detail/CH060424/312,https://assets.phillips.com/image/upload/t_Website_CuratedAuction_SingleCell_NoPad_dev2/v1728579194/auctions/CH060424/209052_001.jpg,N/A
